taxa,F4,F6,F7,F8,F9,F14,F18,F19,F20,F21
Amaranthus,0,0.125,0,0.363636364,0,0.5,0.655737705,1.5,0,5.5
Arctostaphylos,0.0625,0.625,0.297029703,2.363636364,7.1875,2.5,0.491803279,1.75,0.705128205,0
Chenopodium_atrovirens,0.125,2.5,4.207920792,14.90909091,0,1.75,1.147540984,4.25,0.384615385,20.5
Crataegus,0,0.125,0,0,0,0,0,0,0,0
Cyperaceae,0,0.125,0,0,0,0.083333333,0,0,0,0
Eleocharis,0,0.125,0,0,0,0,0,0,0,0
Erigonum,0,0,0,0,0,0.083333333,0,0,0,0
Hydrocharitaceae,0.125,0,0,0.363636364,0,0,0,0,0,0
Moehringia,0,0,0,0,0,0,0,0.25,0,0.5
Pinus_ponderosa,0,0,0.099009901,0,0,0,0,0,0,0
Polygonum,0,0.125,0,0,0,0,0,0,0,0
Prunus_virginiana,0,0,0,0,0,0,0,0,0.128205128,0
Ranunculus,0,0,0.099009901,0,0,0,0,0,0,0
Rumex,0,0,0,0,0,0,0,0,0.128205128,0
Vaccinium,0,0,0.099009901,0,0,0,0,0,0,0
Vicia_americana,0,0,0,0.363636364,0,0,0,0,0,0
