taxa,F4,F6,F7,F8,F9,F14,F18,F19,F20,F21
Allium_cernnum,0,0,0,0,0,0.0001,0,0,0.013846154,0
Camassia_quamash,0,0,0,0,0.0071875,0,0,0,0,0
Pinus_fascile,0,0.001875,0.011485149,0.002872727,0,0.002766667,0,0.001,0.001538462,0.0015
cf._Pinus_albicaulis,0,0,0.005948515,0,0,0,0,0,0,0
Pinus_contorta_whole,0,0,0.088118812,0,0,0.1183,0,0,0,0
Pinus_contorta_fragments,0,0.00075,0.102475248,0,0,2.8947,0.018852459,0,0.004230769,0.0045
Pinus_contorta_needles,0,0.0001,0.213,0,0,0.0001,0.0001,0,0,0
Pinus_ponderosa_needle,0,0.0001,0.0001,0.000218182,0,0.000191667,0.0001,0.0001,0.016,0
Bulb_tissue,0.0015,0,0.000891089,0,0,0.000583333,0,0,0,0.003
Fruit_tissue,0,0,0.006534653,0,0,0,0,0,0,0
